Glyph,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA,ALA-LC_simp,Alone-Stokes_simp,B&D_simp,Campbell_simp,Chaîne_simp,Cohen_simp,Dawkins_simp,Dept of State_simp,ethiop_simp,SERA_simp
ሽ,še/š,sh/shi,šə/šø,,chĕ,š/šə,shï,šɪ,še,x,se/s,sh/shi,s@/so,,che,s/s@,shi,si,se,x
ሾ,šo,sho,šo,,cho,šʷo,sho,šo,šo,xo,so,sho,so,,cho,swo,sho,so,so,xo
ሿ,šwa,,,,,šwa,shwä,,šwā,xWa,swa,,,,,swa,shwa,,swa,xwa
ቀ,qa,ka,qä,qa,qă,qɑ,ḳä,Kə,qa,qe,qa,ka,qa,qa,qa,qa,ka,k@,qa,qe
ቁ,qu,ku,qu,qū,qu,qu,ḳu,Ku,qu,qu,qu,ku,qu,qu,qu,qu,ku,ku,qu,qu
ቂ,qi,kī,qi,qī,qi,qi,ḳi,Ki,qi,qi,qi,ki,qi,qi,qi,qi,ki,ki,qi,qi
ቃ,qā,kā,qa,qā,qa,qa,ḳa,Ka,qā,qa,qa,ka,qa,qa,qa,qa,ka,ka,qa,qa
ቄ,qé,kē,qe,qē,qe,qʸe,ḳe,Ke,qē,qE,qe,ke,qe,qe,qe,qye,ke,ke,qe,qe
ቅ,qe/q,k/ki,qə/qø,qe,qĕ,q/qə,ḳï,Kɪ,qe,q,qe/q,k/ki,q@/qo,qe,qe,q/q@,ki,ki,qe,q
ቆ,qo,ko,qo,qō,qo,qʷo,ḳo,Ko,qo,qo,qo,ko,qo,qo,qo,qwo,ko,ko,qo,qo
ቇ,,,,,,,,,,,,,,,,,,,,
ቈ,qwa,kwa,quä,qua,quă,qwå,ḳwe,Kwə,qwa,qWe,qwa,kwa,qua,qua,qua,qwa,kwe,kw@,qwa,qwe
ቊ,qwi,kwī,qui,quī,qui,qwi,ḳwi,Kwi,qwi,qWi,qwi,kwi,qui,qui,qui,qwi,kwi,kwi,qwi,qwi
ቋ,qwā,kwā,qua,quā,qua,qwa,ḳwä,Kwa,qwā,qWa,qwa,kwa,qua,qua,qua,qwa,kwa,kwa,qwa,qwa
ቌ,qwé,kwē,que,quē,que,qwe,ḳwe,Kwe,qwē,qWE,qwe,kwe,que,que,que,qwe,kwe,kwe,qwe,qwe
ቍ,qwe,kwi,quə,que,quĕ,qwə/qwŭ,ḳwï,Kwɪ,qwe,qW,qwe,kwi,qu@,que,que,qw@/qwu,kwi,kwi,qwe,qw
ⷀ,,,,,,,,,q́a,‘qe,,,,,,,,,qa,'qe
ⷁ,,,,,,,,,q́u,‘qu,,,,,,,,,qu,'qu
ⷂ,,,,,,,,,q́i,‘qi,,,,,,,,,qi,'qi
ⷃ,,,,,,,,,q́ā,‘qa,,,,,,,,,qa,'qa
ⷄ,,,,,,,,,q́ē,‘qE,,,,,,,,,qe,'qe
ⷅ,,,,,,,,,q́e,‘q,,,,,,,,,qe,'q
ⷆ,,,,,,,,,q́o,‘qo,,,,,,,,,qo,'qo
