Glyph,USV,ALA-LC,Alone-Stokes,B&D,Campbell,Chaîne,Cohen,Dawkins,Dept of State,ethiop,SERA
ቭ,126D,ve/v,,,,,,,vɪ,ve,v
ቮ,126E,vo,,,,,,,vo,vo,vo
ቯ,126F,,,,,,,,,vwā,vWa
ተ,1270,ta,ta,tä,ta,tă,tɑ,tä,tə,ta,te
ቱ,1271,tu,tu,tu,tū,tu,tu,tu,tu,tu,tu
ቲ,1272,ti,tī,ti,tī,ti,ti,ti,ti,ti,ti
ታ,1273,tā,tā,ta,tā,ta,ta,ta,ta,tā,ta
ቴ,1274,té,tē,te,tē,te,tʸe,te,te,tē,tE
ት,1275,te/t,t/ti,tə/tø,te,tĕ,t/tə,tï,tɪ,te,t
ቶ,1276,to,to,to,tō,to,tʷo,to,to,to,to
ቷ,1277,twa,,,,,twa,twä,,twā,tWa
ቸ,1278,ča,cha,čä,,tchă,čä,chä,cə,ča,ce
ቹ,1279,ču,chu,ču,,tchu,ču,chu,cu,ču,cu
ቺ,127A,či,chī,či,,tchi,či,chi,ci,či,ci
ቻ,127B,čā,chā,ča,,tcha,ča,cha,ca,čā,ca
ቼ,127C,čé,chē,če,,tche,če,che,ce,čē,cE
ች,127D,če/č,ch/chi,čə/čø,,tchĕ,č/čə,chï,cɪ,če,c
ቾ,127E,čo,cho,čo,,tcho,čʷo,cho,co,čo,co
ቿ,127F,čwa,,,,,čwa,chwä,,čwā,cWa
ኀ,1280,ẖa,hā,hä/ḫä,ḫa,ḫă,ha,hä,ha,ẖa,‘he
ኁ,1281,ẖu,hu,hu/ḫu,ḫū,ḫu,hu,hu,hu,ẖu,‘hu
ኂ,1282,ẖi,hī,hi/ḫi,ḫī,ḫi,hi,hi,hi,ẖi,‘hi
ኃ,1283,ẖā,hā,ha/ḫa,ḫā,ḫa,ha,ha,ha,ẖā,‘ha
ኄ,1284,ẖé,hē,he/ḫe,ḫē,ḫe,he,he,he,ẖē,‘hE
